Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
0.103543, 0, 0, 0.000000, 0.000000
0.207486, 0, 0, 0.000000, 0.000000
0.311445, 0, 0, 0.000000, 0.000000
0.415413, 0, 0, 0.000000, 0.000000
0.519386, 0, 0, 0.000000, 0.000000
0.623357, 0, 0, 0.000000, 0.000000
0.727320, 0, 0, 0.000000, 0.000000
0.831287, 0, 0, 0.000000, 0.000000
0.935258, 0, 0, 0.000000, 0.000000
1.039226, 0, 0, 0.000000, 0.000000
1.143212, 0, 0, 0.000000, 0.000000
1.247151, 0, 0, 0.000000, 0.000000
1.351119, 0, 0, 0.000000, 0.000000
1.455090, 0, 0, 0.000000, 0.000000
1.559060, 0, 0, 0.000000, 0.000000
1.663031, 0, 0, 0.000000, 0.000000
1.767002, 0, 0, 0.000000, 0.000000
1.870972, 0, 0, 0.000000, 0.000000
1.974945, 0, 0, 0.000000, 0.000000
2.078915, 0, 0, 0.000000, 0.000000
2.182886, 0, 0, 0.000000, 0.000000
2.286857, 0, 0, 0.000000, 0.000000
2.390830, 0, 0, 0.000000, 0.000000
2.494801, 0, 0, 0.000000, 0.000000
2.598771, 0, 0, 0.000000, 0.000000
2.702742, 0, 0, 0.000000, 0.000000
2.806713, -10, 0, -0.201440, 0.000000
2.910682, -182, 0, -3.666284, 0.000000
3.014653, -246, 0, -4.955432, 0.000000
3.118623, -240, 0, -4.834614, 0.000000
3.222593, -207, 0, -4.169855, 0.000000
3.326563, -138, 0, -2.779903, 0.000000
3.430534, -73, 0, -1.470514, 0.000000
3.534505, 5, 0, 0.100720, 0.000000
3.638472, 162, 0, 3.263459, 0.000000
3.742442, 253, 0, 5.096489, 0.000000
3.846413, 325, 0, 6.546811, 0.000000
3.950384, 246, 0, 4.955432, 0.000000
4.054355, 165, 0, 3.323765, 0.000000
4.158326, 103, 0, 2.074835, 0.000000
4.262298, 44, 0, 0.886329, 0.000000
4.366267, -8, 0, -0.161155, 0.000000
4.470236, 0, 0, 0.000000, 0.000000
4.574207, 0, 0, 0.000000, 0.000000
4.678178, 0, 2, 0.000000, 0.040288
4.782147, 0, -5, 0.000000, -0.100722
4.886117, 0, -112, 0.000000, -2.256153
4.990087, 0, -190, 0.000000, -3.827403
