%time,field.left_wheels,field.right_wheels
1558096751324735758,0.0,0.0
1558096751408124742,0.0,0.0
1558096751488448108,0.0,0.0
1558096751592197068,0.0,0.0
1558096751691695969,1.57552292995,2.00853052026
1558096751791444515,3.2580687307,3.67898780427
1558096751891435584,5.25833615515,5.41047584603
1558096751991546054,6.30209171979,6.34344835941
1558096752091566423,6.39998554913,6.64076526829
1558096752191433832,5.80603515918,5.87712938776
1558096752291500146,5.11826789072,5.32247827192
1558096752391601810,4.81593173125,4.6393199114
1558096752491443124,4.83445943788,4.41506234519
1558096752591499084,3.91841949108,3.89706709197
1558096752691729635,3.67345698049,3.92668422779
1558096752791444842,4.24718924789,4.18356094881
1558096752891426686,4.15142755363,4.25906497204
1558096752991633074,4.19928850174,4.03058975223
1558096753091421995,4.25365874009,3.68360964824
1558096753191426078,3.69568080818,3.73047491094
1558096753291472039,3.62621000659,3.68175951783
1558096753391464934,3.67437743902,4.15967269116
1558096753491423033,3.6725365546,4.20878211505
1558096753591426949,4.19928850174,3.68268435067
1558096753688363942,4.42438916147,4.18460579421
1558096753791465469,3.71911862102,4.14014371139
1558096753891419920,4.4920004329,3.72762939232
1558096753991471639,3.95728889186,3.94318622916
1558096754091769494,4.32502888664,3.93406001409
1558096754191518577,4.01321246241,4.30613251092
1558096754291603009,4.20244850665,4.01898815064
1558096754391423461,3.89292784175,3.68453541091
1558096754491425870,3.47493851827,3.90329243876
1558096754591655722,3.6966128731,3.48733739296
1558096754691427890,3.72668170551,4.20983959799
1558096754791442580,4.21938069697,3.73808424273
1558096754891492135,4.11877151444,4.22789846076
1558096754991510734,3.73047479453,4.1268870936
1558096755091426126,4.42088697978,3.77077325103
1558096755191482093,4.41131664771,3.90121511442
1558096755291705380,4.20034147199,4.41959127784
1558096755391411016,3.71911862102,4.73606954774
1558096755491414546,3.62890254829,4.26123133266
1558096755591498899,3.6725365546,4.12282519685
1558096755691408673,4.25150005389,4.21089761247
1558096755791414068,4.19403302612,4.26339989822
1558096755891460430,4.14629111951,4.20139458375
1558096755991458070,4.22683197669,4.15967269116
1558096756091407443,4.19823654913,3.68360964824
1558096756191409991,4.19823654913,3.15658658628
1558096756291412348,1.57552292995,1.0524598995
1558096756391407609,0.0,0.0
1558096756491413523,-1.6728396336,-1.07239897593
1558096756591470008,-2.47388998933,-2.25446200215
1558096756691717699,-2.70244546352,-2.9756976557
1558096756791489212,-3.00558990317,-3.7941942029
1558096756891596240,-3.15183637999,-4.01802436451
1558096756991446160,-3.89292784175,-3.6578758483
1558096757091421248,-3.97324182016,-3.34300909816
1558096757191769850,-4.20139447986,-3.88210417053
1558096757291411060,-4.25906480629,-4.20983959799
1558096757391414504,-3.71252627804,-4.27427591837
